Review,Similarity
"The meat was pretty dry, I had the sliced brisket and pulled pork.",0.9757106
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0.9756806
"The food was great as always, compliments to the chef.",0.9756642
"In summary, this was a largely disappointing dining experience.",0.9756571
We'll never go again.,0.97555757
This place deserves no stars.,0.9755353
Their frozen margaritas are WAY too sugary for my taste.,0.975535
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,0.97550714
"After one bite, I was hooked.",0.97543836
Nargile - I think you are great.,0.9754159
The only redeeming quality of the restaurant was that it was very inexpensive.,0.9753057
She ordered a toasted English muffin that came out untoasted.,0.97528684
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0.9752622
Overall I was not impressed and would not go back.,0.97500336
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,0.97495764
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0.97493005
"However, there was so much garlic in the fondue, it was barely edible.",0.9748769
The buffet is small and all the food they offered was BLAND.,0.9748741
Kind of hard to mess up a steak but they did.,0.9747779
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,0.97474265
We won't be going back anytime soon!,0.9747397
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0.97473294
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0.9747205
Their daily specials are always a hit with my group.,0.9745997
"The chips that came out were dripping with grease, and mostly not edible.",0.97452366
I love the Pho and the spring rolls oh so yummy you have to try.,0.97451305
The last 3 times I had lunch here has been bad.,0.9745034
It was just not a fun experience.,0.9744943
"Both of them were truly unbelievably good, and I am so glad we went back.",0.9744717
They know how to make them here.,0.97441983
Our server was super nice and checked on us many times.,0.9744078
This is a good joint.,0.9743364
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0.9743265
We watched our waiter pay a lot more attention to other tables and ignore us.,0.97428316
"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",0.9742731
My fiancé and I came in the middle of the day and we were greeted and seated right away.,0.9742199
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0.9742184
The service was terrible though.,0.9741471
After two I felt disgusting.,0.9741042
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0.97402465
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0.9739177
Those burgers were amazing.,0.9737698
It kept getting worse and worse so now I'm officially done.,0.97373
"In an interesting part of town, this place is amazing.",0.97371066
"That said, our mouths and bellies were still quite pleased.",0.9736911
The food was terrible.,0.9736898
The food was terrible.,0.9736898
The lighting is just dark enough to set the mood.,0.9736794
"Unfortunately, it was not good.",0.9736788
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0.97366124
I did not expect this to be so good!,0.97357166
"The dining space is tiny, but elegantly decorated and comfortable.",0.97348243
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0.9733956
Any grandmother can make a roasted chicken better than this one.,0.9732499
We asked for the bill to leave without eating and they didn't bring that either.,0.97323334
We will not be coming back.,0.973179
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0.97315407
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0.97314
These were so good we ordered them twice.,0.9730659
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",0.97302765
"I have eaten here multiple times, and each time the food was delicious.",0.9729878
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0.9729828
The one down note is the ventilation could use some upgrading.,0.9729668
I found this place by accident and I could not be happier.,0.97291744
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0.97288704
Service was fantastic.,0.9728535
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0.9727842
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0.9726677
"A couple of months later, I returned and had an amazing meal.",0.97261536
My girlfriend's veal was very bad.,0.972601
Why are these sad little vegetables so overcooked?,0.97259367
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,0.97249186
"It lacked flavor, seemed undercooked, and dry.",0.9724775
First time going but I think I will quickly become a regular.,0.97246027
The yellowtail carpaccio was melt in your mouth fresh.,0.97238916
Crostini that came with the salad was stale.,0.9723753
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",0.97230405
There was a warm feeling with the service and I felt like their guest for a special treat.,0.97225034
It was absolutely amazing.,0.97223485
Food was so gooodd.,0.972194
"Friend's pasta -- also bad, he barely touched it.",0.9720862
I won't be back.,0.9720212
I won't be back.,0.9720212
Talk about great customer service of course we will be back.,0.97198737
The food came out at a good pace.,0.97196186
The restaurant atmosphere was exquisite.,0.9719382
I came back today since they relocated and still not impressed.,0.9718754
"- Really, really good rice, all the time.",0.97186536
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0.97184676
I was so insulted.,0.9717426
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",0.97172594
Now this dish was quite flavourful.,0.9716849
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",0.971647
Service was fine and the waitress was friendly.,0.97157073
"Frozen pucks of disgust, with some of the worst people behind the register.",0.9715017
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0.9714998
Del Taco is pretty nasty and should be avoided if possible.,0.9714693
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0.9714672
This greedy corporation will NEVER see another dime from me!,0.97136724
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0.97126967
I want to first say our server was great and we had perfect service.,0.97123337
This place is awesome if you want something light and healthy during the summer.,0.97121423
My friend loved the salmon tartar.,0.9712105
I had about two bites and refused to eat anymore.,0.9711532
Last night was my second time dining here and I was so happy I decided to go back!,0.97114134
The waitress was friendly and happy to accomodate for vegan/veggie options.,0.97107065
"for 40 bucks a head, i really expect better food.",0.97106993
The selection was probably the worst I've seen in Vegas.....there was none.,0.97103554
"We had fantastic service, and were pleased by the atmosphere.",0.97096133
The restaurant is very clean and has a family restaurant feel to it.,0.970927
"Our waiter was very attentive, friendly, and informative.",0.97090197
All of the tapas dishes were delicious!,0.9708121
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0.970796
"The owner used to work at Nobu, so this place is really similar for half the price.",0.9707542
Honeslty it didn't taste THAT fresh.),0.9707424
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0.9707374
These are the nicest restaurant owners I've ever come across.,0.97072417
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0.9707019
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",0.9706116
My gyro was basically lettuce only.,0.97058636
They have great dinners.,0.9704039
"If you look for authentic Thai food, go else where.",0.9703798
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0.9703518
Everyone is treated equally special.,0.97025007
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0.97012275
This place deserves one star and 90% has to do with the food.,0.9700919
"The food is about on par with Denny's, which is to say, not good at all.",0.9700849
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0.9700732
If you stay in Vegas you must get breakfast here at least once.,0.970022
So flavorful and has just the perfect amount of heat.,0.9700185
I can take a little bad service but the food sucks.,0.9700077
"I loved the grilled pizza, reminded me of legit Italian pizza.",0.9699756
Bland and flavorless is a good way of describing the barely tepid meat.,0.96989393
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0.96988344
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",0.9698284
As always the evening was wonderful and the food delicious!,0.96963435
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,0.9695927
"I probably won't be back, to be honest.",0.96942604
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",0.9693757
This is an unbelievable BARGAIN!,0.9693757
The nachos are a MUST HAVE!,0.9693613
They brought a fresh batch of fries and I was thinking yay something warm but no!,0.96935666
The worst was the salmon sashimi.,0.96933454
Everything was perfect the night we were in.,0.96931607
Tried to go here for lunch and it was a madhouse.,0.9693117
The folks at Otto always make us feel so welcome and special.,0.96929955
I was shocked because no signs indicate cash only.,0.9692614
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",0.96918225
Server did a great job handling our large rowdy table.,0.9691675
This is one of the best bars with food in Vegas.,0.96905565
"Then our food came out, disappointment ensued.",0.96903706
All I have to say is the food was amazing!!!,0.9690175
"I love the owner/chef, his one authentic Japanese cool dude!",0.9689552
I don't have to be an accountant to know I'm getting screwed!,0.9689445
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0.96892464
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0.9688442
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0.9688402
"The ripped banana was not only ripped, but petrified and tasteless.",0.96872425
I promise they won't disappoint.,0.9686913
The food was outstanding and the prices were very reasonable.,0.9686551
"Try them in the airport to experience some tasty food and speedy, friendly service.",0.96859795
"I got to enjoy the seafood salad, with a fabulous vinegrette.",0.96855235
"I had strawberry tea, which was good.",0.9685047
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0.9684407
The goat taco didn't skimp on the meat and wow what FLAVOR!,0.9683902
It was awesome.,0.96835756
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0.96827036
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",0.96825814
I vomited in the bathroom mid lunch.,0.96825135
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0.9681858
I love this place.,0.96811485
I love this place.,0.96811485
The classic Maine Lobster Roll was fantastic.,0.9680844
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0.96806103
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0.96804637
They also have the best cheese crisp in town.,0.9679593
The food wasn't good.,0.96792257
We won't be returning.,0.9679008
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0.9678658
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0.9678354
The crêpe was delicate and thin and moist.,0.9678184
Delicious and I will absolutely be back!,0.9678122
The only downside is the service.,0.9678119
At least think to refill my water before I struggle to wave you over for 10 minutes.,0.9677852
I ordered the Lemon raspberry ice cocktail which was also incredible.,0.9676732
I've never been more insulted or felt disrespected.,0.9675264
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",0.9675031
Best of luck to the rude and non-customer service focused new management.,0.9674156
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0.9672225
"Best Buffet in town, for the price you cannot beat it.",0.9671276
Your staff spends more time talking to themselves than me.,0.96703374
"However, my recent experience at this particular location was not so good.",0.9670061
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0.9669539
Highly unprofessional and rude to a loyal patron!,0.96687233
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0.9668508
Just spicy enough.. Perfect actually.,0.96680903
I'm not eating here!,0.9667971
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0.96678925
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",0.96674633
My drink was never empty and he made some really great menu suggestions.,0.9667418
The place was fairly clean but the food simply wasn't worth it.,0.9666954
From what my dinner companions told me...everything was very fresh with nice texture and taste.,0.966672
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,0.96653026
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0.9665271
OMG I felt like I had never eaten Thai food until this dish.,0.9664447
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,0.96639115
Food was average at best.,0.9662549
I hope this place sticks around.,0.96615016
Check it out.,0.9660653
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0.9660067
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,0.96598387
I didn't know pulled pork could be soooo delicious.,0.96589434
-My order was not correct.,0.9658391
My boyfriend and i sat at the bar and had a completely delightful experience.,0.965793
I paid the bill but did not tip because I felt the server did a terrible job.,0.9657756
Great service and food.,0.96577543
It was equally awful.,0.9657705
The management is rude.,0.9657229
We literally sat there for 20 minutes with no one asking to take our order.,0.96569276
Wow... Loved this place.,0.9656707
They were excellent.,0.96563387
Their rotating beers on tap is also a highlight of this place.,0.9656194
I had the opportunity today to sample your amazing pizzas!,0.965557
"Third, the cheese on my friend's burger was cold.",0.96536857
I could eat their bruschetta all day it is devine.,0.9652778
This one is simply a disappointment.,0.96527267
An excellent new restaurant by an experienced Frenchman.,0.9652517
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0.96518195
It really is impressive that the place hasn't closed down.,0.9651177
Please stay away from the shrimp stir fried noodles.,0.96511275
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0.9650565
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0.96503085
"After 20 minutes wait, I got a table.",0.9648378
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",0.9648361
It was a pale color instead of nice and char and has NO flavor.,0.96478605
Omelets are to die for!,0.9647475
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",0.96469885
I can assure you that you won't be disappointed.,0.9646909
Waiter was a jerk.,0.9645902
"Their menu is diverse, and reasonably priced.",0.9645064
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0.96448606
CONCLUSION: Very filling meals.,0.9644855
I will be back many times soon.,0.964436
The RI style calamari was a joke.,0.96436805
The waitresses are very friendly.,0.964314
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,0.96428794
What a mistake.,0.96427613
The staff was very attentive.,0.9642619
This is a GREAT place to eat!,0.96424174
Do not waste your money here!,0.9642131
The service was poor and thats being nice.,0.9641303
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0.96410495
Not much seafood and like 5 strings of pasta at the bottom.,0.96404827
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,0.9640336
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0.96401477
I guess maybe we went on an off night but it was disgraceful.,0.9639924
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0.96395266
"The food sucked, which we expected but it sucked more than we could have imagined.",0.9639351
We could not believe how dirty the oysters were!,0.9639151
"Oh this is such a thing of beauty, this restaurant.",0.96383846
It's worth driving up from Tucson!,0.96373296
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0.9636601
I think food should have flavor and texture and both were lacking.,0.96364427
Now the pizza itself was good the peanut sauce was very tasty.,0.9635962
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",0.96356046
The pancake was also really good and pretty large at that.,0.9635421
"This place is pretty good, nice little vibe in the restaurant.",0.9635354
"I'd rather eat airline food, seriously.",0.96348
There is nothing privileged about working/eating there.,0.9634303
Awesome service and food.,0.96340877
We were promptly greeted and seated.,0.9633796
The food is good.,0.96336925
They have a really nice atmosphere.,0.9632396
The fried rice was dry as well.,0.9631793
My wife had the Lobster Bisque soup which was lukewarm.,0.96308947
It wasn't busy at all and now we know why.,0.96308625
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0.9630747
"I started this review with two stars, but I'm editing it to give it only one.",0.9630376
It was probably dirt.,0.9629944
Which are small and not worth the price.,0.9629756
It is worth the drive.,0.9628852
Service is also cute.,0.96281016
But then they came back cold.,0.96280485
Best fish I've ever had in my life!,0.9627148
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",0.96268785
The cashew cream sauce was bland and the vegetables were undercooked.,0.9626612
Wow very spicy but delicious.,0.962654
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0.9626405
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,0.96250486
The food is very good for your typical bar food.,0.9624541
If you want a sandwich just go to any Firehouse!!!!!,0.9624095
Food was really good and I got full petty fast.,0.96221286
The food was very good.,0.9622042
The patio seating was very comfortable.,0.9622009
Service was slow and not attentive.,0.9621993
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,0.96217996
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0.9621778
I dont think I will be back for a very long time.,0.96214646
Food was below average.,0.9621066
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,0.96210325
The seasonal fruit was fresh white peach puree.,0.9620521
This is the place where I first had pho and it was amazing!!,0.9619703
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",0.9619492
Everything was good and tasty!,0.9618938
"Phenomenal food, service and ambiance.",0.96187407
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",0.96187294
I've had better atmosphere.,0.9617902
The menu had so much good stuff on it i could not decide!,0.96167886
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0.9616755
"Thus far, have only visited twice and the food was absolutely delicious each time.",0.96164286
Now I am getting angry and I want my damn pho.,0.96158075
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0.96155137
We waited for forty five minutes in vain.,0.9614414
"Great food and service, huge portions and they give a military discount.",0.9613971
"Service is quick and even ""to go"" orders are just like we like it!",0.96136564
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",0.9613418
What I really like there is the crepe station.,0.9612467
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0.96123695
I never come again.,0.96105933
The seafood was fresh and generous in portion.,0.96103656
"I gave it 5 stars then, and I'm giving it 5 stars now.",0.9610123
The desserts were a bit strange.,0.9607692
I love the fact that everything on their menu is worth it.,0.96076614
the presentation of the food was awful.,0.96075076
I'm not impressed with the concept or the food.,0.9607327
I'm super pissd.,0.9607309
I had a seriously solid breakfast here.,0.9607083
Great time - family dinner on a Sunday night.,0.96068925
Things that went wrong: - They burned the saganaki.,0.9605165
"Worst service to boot, but that is the least of their worries.",0.96051437
Our server was very nice and attentive as were the other serving staff.,0.9604903
We had 7 at our table and the service was pretty fast.,0.9604641
And the beans and rice were mediocre at best.,0.96041524
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",0.96038896
A FLY was in my apple juice.. A FLY!!!!!!!!,0.96035945
"Come hungry, leave happy and stuffed!",0.9603449
